id,severity,confidence,category,owner,productionBlocker,verified,title,files,lines,fixApproach,scoreImpact,status
"SEC-011","medium","confirmed","authorization","FABLE","true","false","Lower-privilege company members can forge approvals / decision_items / signoffs / snags — FOR ALL policies weaken WITH CHECK to company_id only","supabase/schema.sql","schema.sql:1462-1465, 1489-1491, 1586-1588, 1610-1612","Make each WITH CHECK mirror its USING predicate (company + role/region/can_see_ticket). One migration updating all four policies; fold into schema.sql.","","READY FOR VERIFICATION"
"SEC-012","medium","confirmed","authorization","FABLE","true","false","No role gate on supplier_escalations / supplier_invites / ticket_variations — any company member can CRUD; invite tokens exposed company-wide","supabase/schema.sql","schema.sql:1632-1634, 1641-1647, 1703-1705","Add `AND app_role() = ANY(ARRAY['system_admin','regional_manager', ...])` to USING and WITH CHECK on all three write policies, and scope supplier_invites read to admin roles (or drop token from client-visible reads). One migration; fold into schema.sql.","","READY FOR VERIFICATION"
"SEC-013","medium","confirmed","input-validation","FABLE","false","false","ticket_updates insert does not bind author_id/author_role to the caller — comment/audit impersonation","supabase/schema.sql","schema.sql:1698-1700","Add `AND author_id = auth.uid()` to the WITH CHECK (and validate author_role server-side, or drop it in favor of deriving role from the profile). Same treatment worth applying to ticket_evidence.uploaded_by (schema.sql:1674-1676).","","READY FOR VERIFICATION"
"SEC-014","medium","architectural-risk","tenant-isolation","SHARED","false","false","app_settings is gated by role only, with no tenant scope — cross-tenant admin overwrite","supabase/schema.sql","schema.sql:2012-2015","Decide the model: either keep app_settings platform-global and restrict writes to a dedicated platform-owner (a specific user id / a super-admin flag) rather than any system_admin, or add company_id and make settings per-tenant. Since all reads/writes already go through the service-role admin routes, the direct-table policy is defence-in-depth — tighten it accordingly.","","NOT STARTED"
"SEC-015","medium","confirmed","tenant-isolation","FABLE","false","false","POST /api/suppliers and /api/suppliers/bulk create suppliers with no company_id (untenanted writes)","app/api/suppliers/route.ts; app/api/suppliers/bulk/route.ts","suppliers/route.ts:64-82 (POST); suppliers/bulk/route.ts:32-52 (POST)","Delete these dead routes, or capture the caller's company_id in requireAdmin() and stamp `company_id: companyId` on every inserted row (rejecting supplier-role users with a null company_id).","","FIX IMPLEMENTED"
"SEC-016","medium","architectural-risk","authorization","FABLE","false","false","Ticket supplier assignment/invite never validates the supplier_id belongs to the ticket's company (or Motiv pool)","app/api/tickets/[id]/transition/route.ts; app/api/tickets/[id]/assign/route.ts; app/api/regional/tickets/route.ts","transition: 130 (validate), 145 (require_assessment), 152-153 (request_quote), 261-263 (assign_snag); assign: 30 & 78-81; regional/tickets: 40 & 79-82","Before writing supplier_id / inserting ticket_suppliers, load the suppliers row(s) and assert `company_id === ticket.company_id` OR the row is a verified Motiv-pool supplier (is_motiv/company_id null per the pool rules). Reject otherwise. Apply the same guard in transition (validate/require_assessment/request_quote/assign_snag), assign, and regional/tickets.","","FIX IMPLEMENTED"
"SEC-017","medium","confirmed","input-validation","FABLE","false","false","transition-engine submit_quote accepts Infinity / over-cap amounts (weaker than parseAmount)","app/api/tickets/[id]/transition/route.ts; lib/api-error.ts","transition/route.ts:166-169; parseAmount lib/api-error.ts:26-30","Replace the inline Number()/>0 check in transition submit_quote with parseAmount() and return the same 400 on null.","Medium — financial input-validation inconsistency.","FIX IMPLEMENTED"
"SEC-018","medium","architectural-risk","business-logic","FABLE","false","false","transition approve_quote diverges from /quote-decision: leaves invites open, never sets supplier_id, marks ALL pending quotes accepted","app/api/tickets/[id]/transition/route.ts; app/api/tickets/[id]/quote-decision/route.ts; app/api/tickets/[id]/submit-quote/route.ts","transition/route.ts:172-176; quote-decision/route.ts:137-153; submit-quote/route.ts:48-68","Either remove approve_quote from lib/workflow + the transition switch, or make it award a single quote and close the other ticket_suppliers invites exactly like /quote-decision; and add a source-status guard to /submit-quote so quotes can't be submitted once the ticket has left the commercial phase.","Medium — award/state-machine consistency.","NOT STARTED"
"SEC-019","medium","confirmed","db-integrity","FABLE","false","false","tickets.assigned_user_id, asset_id, technician_id have no foreign keys","supabase/schema.sql","730 (assigned_user_id), 733 (asset_id), 805 (technician_id); FK block 1045-1052","Add FKs in a migration: tickets.asset_id→assets(id), tickets.technician_id→technicians(id), tickets.assigned_user_id→user_profiles(id), each ON DELETE SET NULL (nullable cols), plus a supporting index on each; verify no existing orphan rows first (SELECT ... WHERE asset_id NOT IN (SELECT id FROM assets)).","","NOT STARTED"
"SEC-020","medium","confirmed","db-integrity","FABLE","false","false","ratings table missing FKs on company_id, supplier_id, contractor_id, rated_by","supabase/schema.sql","236-246 (table); 957 (only FK)","Add FKs ratings.company_id→companies(id), ratings.supplier_id→suppliers(id), ratings.rated_by→user_profiles(id); decide contractor_id's referent (technicians?) and add FK or drop the column; add indexes on supplier_id and company_id. Backfill/clean orphans first.","","NOT STARTED"
"SEC-021","medium","confirmed","tenant-isolation","FABLE","false","false","technicians table has zero foreign keys (company_id, supplier_id unenforced)","supabase/schema.sql","558-567 (table); FK block 924-1055 (no entry)","Add technicians.supplier_id→suppliers(id) ON DELETE CASCADE and technicians.company_id→companies(id); index both. Clean orphans first.","","NOT STARTED"
"SEC-022","medium","config-weakness","db-integrity","FABLE","false","false","No CHECK constraints on enum-like text columns (status/priority/type/severity/author_role) — typos persist silently","supabase/schema.sql","736/738/743 (tickets priority/impact/status), 222/228 (quotes type/status), 352 (signoffs.status), 399 (snags.status), 841/843 (whatsapp_sessions.priority/status), 2045 (ticket_chat_messages.author_role), 243 (ratings.score)","Because the live value set is broad and drifts, prefer adding CHECK constraints from the authoritative app enums (or reference lookup tables) rather than a narrow list; at minimum add ratings.score CHECK (score BETWEEN 1 AND 5) and author_role CHECK (author_role IN ('regional_manager','supplier')). Enumerate live DISTINCT values before constraining status columns to avoid rejecting valid rows.","","NOT STARTED"
"SEC-023","medium","unverifiable","efficiency","SHARED","false","false","FK / hot-path indexes not present in schema.sql and likely absent (tickets by company_id/store_id/region_id/supplier_id/status, quotes.ticket_id, notifications(user_id,read))","supabase/schema.sql","1345-1356 (declared indexes), 1719-1730 (tickets RLS filters), 1517 (quotes read), 1356 (notifications index)","OWNER: run `select indexname, indexdef from pg_indexes where schemaname='public' and tablename in ('tickets','quotes','notifications')` on live and paste back. FABLE: add any missing btree indexes — tickets(company_id), tickets(store_id), tickets(region_id), tickets(supplier_id), tickets(status), quotes(ticket_id), notifications(user_id, read) — and fold them into schema.sql.","","NOT STARTED"
"SEC-024","medium","confirmed","db-integrity","SHARED","false","false","FKs are almost entirely NO ACTION; user-account erasure chain is effectively blocked","supabase/schema.sql","1044 (notifications.ticket_id set null), 1043 (ticket_events cascade), 1054 (user_profiles→auth.users cascade), 945/955/1049 (children of user_profiles NO ACTION)","Decide the deletion policy explicitly: keep soft-delete (active/closed_at) as the norm and document that hard-delete is unsupported, OR add an erasure routine that anonymises user_profiles-referencing rows (set actor/created_by to a tombstone) before delete. Set audit/actor FKs to ON DELETE SET NULL so history survives user removal.","","NOT STARTED"
"SEC-025","medium","confirmed","privacy","FABLE","false","false","WhatsApp webhook writes caller PII (phone numbers + free-text ticket content) to server logs","app/api/webhooks/whatsapp/route.ts","523, 626, 644","Drop the phone number and `extracted` content from these logs; log only non-identifying shape (message.type, a hashed/last-4 phone token, session id). Keep the existing safe log at L519.","Privacy/compliance risk under POPIA.","FIX IMPLEMENTED"
"SEC-026","low","confirmed","tenant-isolation","FABLE","false","false","/view omits tenant (company) match and has no rate limit — cross-company writes into ticket_views audit table","app/api/tickets/[id]/view/route.ts","29-39","After loading the ticket, reject when ticket.company_id !== prof.company_id (or reuse the ticket-access helper), and add a rateLimit('view:{user.id}',…) guard.","Cross-tenant audit-log pollution; unthrottled write.","FIX IMPLEMENTED"
"SEC-027","low","confirmed","tenant-isolation","FABLE","false","false","/seen omits tenant match and has no rate limit — cross-company writes into ticket_reads","app/api/tickets/[id]/seen/route.ts","13-25","Add a ticket-access/company check before the upsert and a rateLimit guard.","Cross-tenant read-state pollution; unthrottled write.","FIX IMPLEMENTED"
"SEC-028","low","likely","user-enumeration","FABLE","false","false","Supplier self-signup onboarding reveals whether an email is already registered (user enumeration)","app/api/supplier/onboard/route.ts","142-143","Drop the friendly pre-check (createUser already returns a generic 'account already exists' at 159-163) or return an identical generic message for both branches; optionally add a per-email rate limit.","","FIX IMPLEMENTED"
"SEC-029","low","likely","business-logic","FABLE","false","false","supplier/assign-rm clear-path deletes ALL regional_user links for the store's region","app/api/supplier/assign-rm/route.ts","56-63","Scope the delete to the specific RM (add `.eq('user_id', <currentRmId>)`) or redesign the store↔RM assignment to not mutate region-wide regional_users; at minimum confirm the region-wide intent.","","NOT STARTED"
"SEC-030","low","config-weakness","storage","FABLE","false","false","Private-bucket storage upload policies are unscoped (bucket + logged-in only)","supabase/schema.sql","schema.sql:1773-1787, 1975-1977","Add a name/path prefix predicate (e.g. `(storage.foldername(name))[1] = auth.uid()::text`) and role checks where appropriate, or explicitly document that these are intentionally inert and keep /api/uploads as the enforced path.","","NOT STARTED"
"SEC-031","low","missing-control","authorization","FABLE","false","false","schedule action lets a supplier set technician_id to any technician UUID (no roster ownership check)","app/api/tickets/[id]/transition/route.ts","195","When technicianId is provided, look up the technician and confirm its supplier_id is one of the acting supplier's supplier_ids before writing; otherwise reject.","","FIX IMPLEMENTED"
"SEC-032","low","architectural-risk","business-logic","FABLE","false","false","Supplier add_update flips ticket status open→in_progress outside the workflow engine","app/api/supplier/ticket-action/route.ts","ticket-action/route.ts:48 (gate at :40)","Remove the inline status flip; add_update should only touch last_supplier_update_at and the update row.","Low — latent engine bypass.","NOT STARTED"
"SEC-033","low","confirmed","db-integrity","FABLE","false","false","ticket_suppliers has no unique(ticket_id,supplier_id); assign route doesn't de-duplicate supplierIds (duplicate supplier assignment)","supabase/schema.sql; app/api/tickets/[id]/assign/route.ts","schema.sql:655-668 (PK id only); assign/route.ts:30, 70, 78-82","Add unique(ticket_id, supplier_id) to ticket_suppliers (idempotent migration) and de-dup supplierIds in the assign route.","Low — data-integrity hardening.","NOT STARTED"
"SEC-034","low","confirmed","evidence-integrity","FABLE","false","false","Evidence can be uploaded after close-out (no workflow-state gate on add_evidence / ticket_evidence)","app/api/supplier/ticket-action/route.ts; supabase/schema.sql","ticket-action/route.ts:65-72 (gate :40); RLS schema.sql:1674-1676","Reject add_evidence when ticket.status is terminal (completed/cancelled/declined); optionally add the same guard in the ticket_evidence RLS check.","Low — post-terminal record hygiene.","FIX IMPLEMENTED"
"SEC-035","low","confirmed","db-integrity","FABLE","false","false","Additional child columns without FKs (ticket_suppliers.quote_id/company_id, daily_briefings.company_id, supplier_sla_acceptances.user_id, supplier_verification_docs.uploaded_by, ticket_events.company_id, store_ticket_counters.store_id)","supabase/schema.sql","662/657 (ticket_suppliers), 93-105 (daily_briefings), 514 (supplier_sla_acceptances.user_id), 529 (supplier_verification_docs.uploaded_by), 712 (ticket_events.company_id), 434-438 (store_ticket_counters.store_id)","Add the corresponding FKs (quote_id→quotes, company_id→companies, user_id/uploaded_by→user_profiles, store_id→stores). Keep uploaded_by/user_id ON DELETE SET NULL where the audit row should survive the user.","","NOT STARTED"
"SEC-036","low","confirmed","reliability","FABLE","false","false","Multi-write workflows are non-atomic (ticket insert + notification fan-out, project milestone + file) — partial writes possible","app/api/tickets/route.ts; supabase/schema.sql","app/api/tickets/route.ts:85 (ticket insert) then 98 (notifications insert)","For sequences that must be atomic, move the multi-write into a single SECURITY DEFINER Postgres function (RPC) so it runs in one transaction; for best-effort fan-out (notifications), keep sequential but wrap in try/catch and never let a notification failure surface as a ticket-create error. Audit which routes chain a status/ticket write with a dependent child insert.","","FIX IMPLEMENTED"
"SEC-037","low","unverifiable","db-integrity","SHARED","false","false","schema.sql explicitly does not capture CHECK constraints or secondary indexes — integrity review of those is unverifiable against live","supabase/schema.sql","9-12 (header disclaimer)","OWNER: run `pg_dump --schema-only` (or the existing supabase/diagnostics/export_live_schema.sql) and share. FABLE: reconcile CHECKs + indexes into schema.sql so the mirror is authoritative, and update the header disclaimer once captured.","","NOT STARTED"
"SEC-038","low","confirmed","monitoring","FABLE","false","false","Handled API 500s never reach Sentry; no log drain → weak error observability","instrumentation.ts; app/api/cron/v3-snapshots/route.ts; app/api/cron/v3-recompute/route.ts; lib/rate-limit.ts; app/api/csp-report/route.ts","instrumentation.ts:12; v3-snapshots:26-27","Add `Sentry.captureException(e)` inside the catch blocks that return 500 (or a small `reportServerError()` helper used everywhere), and/or configure a Vercel log drain for retention + alerting.","Reduced production incident detection.","NOT STARTED"
"SEC-039","low","confirmed","reliability","FABLE","false","false","Archived-notification purge lives only in the unscheduled v3-recompute cron → notifications table grows unbounded","vercel.json; app/api/cron/v3-recompute/route.ts; app/api/cron/v3-snapshots/route.ts","vercel.json:2-4; v3-recompute:15-20","Fold the archived-notification purge delete into the already-scheduled v3-snapshots handler (cheapest, no extra cron slot), or add v3-recompute to vercel.json crons.","Slow free-tier DB exhaustion over time.","NOT STARTED"
"SEC-040","low","config-weakness","dependencies","SHARED","false","false","xlsx (SheetJS) pinned to a CDN tarball is invisible to npm audit + Dependabot, and parses untrusted uploads","package.json; .github/dependabot.yml; app/api/parse-quote-pdf/route.ts; app/api/projects/[id]/import/route.ts","package.json:39; parse-quote-pdf:113; projects/[id]/import:46","Add an explicit scheduled reminder/check that compares the pinned xlsx version against SheetJS releases/advisories (e.g. a small CI step or calendared owner task), and keep the pin current. Confirm both parse routes are auth-gated and size-limited.","Supply-chain monitoring gap on an untrusted-input parser.","FIX IMPLEMENTED"
"SEC-041","low","confirmed","dependencies","THIRD_PARTY","false","false","Four moderate npm advisories via next's transitive postcss; non-blocking in CI","package.json; .github/workflows/ci.yml","ci.yml:76-77; package.json:29","Track the next release that bumps postcss and take the Dependabot bump when available; no code change needed now.","Minimal; build-time transitive only.","FIX IMPLEMENTED"
"SEC-042","low","likely","monitoring","FABLE","false","false","Unauthenticated /api/csp-report forwards arbitrary POST bodies to Sentry at up to 60/min globally","app/api/csp-report/route.ts","17, 33-37","Key the rate limit per client IP (and/or lower the global cap well under the Sentry budget), and avoid stuffing the raw report object into Sentry `extra` (log only the whitelisted directive/blocked/doc fields).","Observability/quota abuse vector.","NOT STARTED"
"SEC-043","info","architectural-risk","authorization","SHARED","false","false","Executive role (documented read-only) is granted ticket write actions across its company","lib/workflow.ts; app/api/tickets/[id]/assign/route.ts; app/api/tickets/[id]/quote-decision/route.ts; app/api/tickets/[id]/transition/route.ts","workflow TRANSITIONS include 'executive' on many actions (89-176); assign 36; quote-decision 39","Decide the intended executive capability; either remove 'executive' from the write transition/role arrays and the assign/quote-decision role checks, or update the documentation to reflect intentional company-scoped write access.","Role over-privilege vs documented read-only intent (company-scoped).","NOT STARTED"
"SEC-044","info","confirmed","privacy","FABLE","false","false","sla_rules read policy exposes global (company_id IS NULL) rows to anonymous users","supabase/schema.sql","schema.sql:1595-1597","Add `auth.role() = 'authenticated'` (or `auth.uid() IS NOT NULL`) to the NULL branch of the sla read policy.","","FIX IMPLEMENTED"
"SEC-045","info","confirmed","code-quality","FABLE","false","false","Deny-all tables and SECURITY DEFINER functions reviewed — no defects found (confirmation)","supabase/schema.sql","schema.sql:1064-1339, 1380-1453","Optional hardening only: also revoke EXECUTE on log_ticket_event() and archive_ticket_notifications() from anon/authenticated to match the other trigger functions.","","NOT STARTED"
"SEC-046","info","confirmed","business-logic","FABLE","false","false","CONTROL CONFIRMED: project progress is server-computed and not client-settable","supabase/schema.sql; lib/projects/progress.ts; app/api/projects/[id]/stores/[storeId]/route.ts; lib/projects/guard.ts","schema.sql:1871-1876 (generated column) + 1943-1950 (RLS admin-only write); stores/[storeId]/route.ts:36-66; guard.ts:15-26; progress.ts:46-63","No action required. (Optional nicety: milestones can be marked in any order, but since % is a count×25 this does not misstate progress.)","None — positive assurance.","READY FOR VERIFICATION"
"SEC-047","info","confirmed","business-logic","FABLE","false","false","CONTROL CONFIRMED: separation of duties holds in the workflow engine (supplier cannot sign off own work or resolve own dispute)","lib/workflow.ts; app/api/tickets/[id]/dispute/route.ts; app/api/tickets/[id]/signoff/route.ts","workflow.ts:141-171 (approve/close_out roles); dispute/route.ts:248-253 (confirm requires other party), :224-233 (withdraw/retract role-gated); signoff/route.ts:18 (RM-only)","No action on the engine; remediate via the RLS findings.","None — positive assurance (conditional on fixing RLS).","READY FOR VERIFICATION"
"SEC-048","info","confirmed","db-integrity","SHARED","false","false","audit_logs / ticket_events are immutable to end users, but there is no DB-level append-only/tamper-evidence guard","supabase/schema.sql","1405/1467-1469 (audit_logs RLS + read-only policy), 1746-1749 (ticket_events read-only)","Accept as-is for now (end-user immutability is met). If tamper-evidence is desired later, add a BEFORE UPDATE/DELETE trigger raising an exception on audit_logs/ticket_events, or a periodic hash-chain. No change required to ship.","","NOT STARTED"
"SEC-049","info","confirmed","secrets","FABLE","false","false","Secrets hygiene, security headers, keystore, and service worker checks passed","next.config.mjs; proxy.ts; .gitignore; android/app/build.gradle; android/keystore.properties.example; public/sw.js; app/manifest.webmanifest/route.ts","next.config.mjs:33-49; proxy.ts:7-29; sw.js:1-45","No action required; retain these controls.","None (positive).","NOT STARTED"
